Wavelength,WS_site1_00010_Flag_A,Flag_1_Test_00011_Flag_B,Flag_15_Test_00041_Flag_C
1.689,158.4525,95.2028,55.9969
1.69,158.0151,94.7967,55.8034
1.691,157.5378,94.3791,55.6011
1.692,157.0297,93.9425,55.3879
1.693,156.4995,93.4794,55.1615
1.694,155.9436,92.9881,54.9228
1.695,155.3623,92.4722,54.6718
1.696,154.7637,91.9343,54.4065
1.697,154.154,91.3751,54.1243
1.698,153.5271,90.7884,53.8227
1.699,152.8873,90.1839,53.5083
1.7,152.2411,89.5738,53.1893
1.701,151.5967,88.9646,52.8699
1.702,150.9479,88.3496,52.5457
1.703,150.2803,87.7207,52.2114
1.704,149.5801,87.0702,51.8624
1.705,148.8471,86.3976,51.5
1.706,148.091,85.7088,51.1251
1.707,147.3219,85.0101,50.7374
1.708,146.5438,84.3049,50.3364
1.709,145.7524,83.5903,49.9226
1.71,144.9477,82.864,49.4975
1.711,144.1294,82.1231,49.0619
1.712,143.2957,81.359,48.61
1.713,142.4487,80.5842,48.1488
1.714,141.5917,79.8167,47.6895
1.715,140.727,79.07,47.2401
1.716,139.8536,78.3359,46.7958
1.717,138.9691,77.6023,46.3497
1.718,138.071,76.8574,45.8954
1.719,137.1506,76.0922,45.4284
1.72,136.218,75.321,44.956
1.721,135.291,74.5631,44.4879
1.722,134.381,73.8331,44.0314
1.723,133.4798,73.1228,43.5826
1.724,132.586,72.4244,43.1373
1.725,131.6989,71.7309,42.6917
1.726,130.81,71.0332,42.2399
1.727,129.927,70.3414,41.7882
1.728,129.0684,69.6739,41.3486
1.729,128.2523,69.0448,40.9301
1.73,127.4773,68.4467,40.5275
1.731,126.7209,67.8749,40.1389
1.732,125.9594,67.3259,39.7634
1.733,125.1763,66.7978,39.4005
1.734,124.3885,66.2932,39.0511
1.735,123.6224,65.8161,38.7161
